OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN
588015507659161666,00:03:31.54,-01:09:29.8,58,0.914,0.017,0.0,0.017,0.052,0.0,0.034,0.871,0.075,0,1,0
587727180060491865,00:03:34.70,-09:30:40.8,31,0.903,0.0,0.0,0.032,0.065,0.0,0.032,0.865,0.068,0,0,1
587730773352251582,00:03:36.67,+14:14:34.0,35,0.914,0.029,0.0,0.0,0.029,0.029,0.029,0.882,0.058,0,1,0
587727220877033658,00:03:38.31,+13:58:23.0,29,0.931,0.0,0.0,0.034,0.034,0.0,0.034,0.89,0.074,0,1,0
588015509806645393,00:03:40.55,+00:28:15.0,32,0.938,0.031,0.0,0.031,0.0,0.0,0.062,0.92,0.08,0,0,1
588015510343516313,00:03:45.47,+01:02:41.0,23,0.957,0.0,0.0,0.043,0.0,0.0,0.043,0.889,0.111,0,1,0
588015510343516330,00:03:49.61,+00:59:29.5,39,0.923,0.026,0.026,0.026,0.0,0.0,0.077,0.782,0.218,0,0,1
587727223024582862,00:03:52.03,+15:46:32.4,28,0.964,0.0,0.0,0.0,0.0,0.036,0.0,0.964,0.0,0,1,0
587731186741215362,00:03:55.80,+00:22:39.2,24,0.917,0.0,0.0,0.042,0.042,0.0,0.042,0.896,0.062,0,0,1
587727226764329040,00:03:56.71,-09:41:10.5,20,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0,1,0
587730772815446262,00:03:58.80,+13:43:28.6,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
587730773889187885,00:04:00.62,+14:42:13.4,37,0.0,0.027,0.919,0.027,0.0,0.027,0.973,0.0,0.973,1,0,0
587727225153716362,00:04:01.62,-10:49:48.8,25,0.92,0.0,0.0,0.08,0.0,0.0,0.08,0.87,0.13,0,1,0
587730773889187972,00:04:02.04,+14:40:05.2,48,0.979,0.0,0.021,0.0,0.0,0.0,0.021,0.974,0.026,0,1,0
588015508732969059,00:04:06.01,-00:13:33.4,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0
